address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views
"2/19B David Street, Carlton VIC 3053",06/08/2019,1 Bathroom,Studio or Bachelor Pad,29/11/2019,29/11/2019,Yes,,https://www.gumtree.com.au/s-ad/carlton/property-for-rent/fully-furnished-all-bills-included-3-month-minimum-stay/1144320303,Street,No,$340,No,"This wonderfull 6 year old fully furnished bedsit apartment situated in an excellent central location close to all that Carlton offers.,We accept short or long stay leases.,Located just a short walk from Lygon St and Brunswick St. I am sure that you will be most impressed with this place.,The home provides great accommodation for University Students and Overseas visitors here on working visas / holidays or currently undergoing internships.,The bedsit studio has its own small courtyard and is furnished with a tv, dvd player, double bed, bedside tables, wardrobe, couch, study desk, study chair, lamps and your own private bathroom.,The kitchen is fully stocked with pots, pans, cutlery, plates, toaster, microwave, etc,Price includes rent, internet, gas, water, electricity,$340 for single occupancy,$380 for double occupancy,To inspect, please contact Nick on ******** 656",Fully Furnished. All bills included. 3 month minimum stay,Apartment & Unit,"Nick,Gummie since, ,2008","255, , views"
"101 Clarendon Street, Southbank VIC",03/12/2019,2 Bathrooms,2 Bedrooms,3 hours ago,3 hours ago,Yes,,https://www.gumtree.com.au/s-ad/southbank/property-for-rent/a-spacious-comfy-2br-suite-in-southbank/1235080001,LUG,Yes,$400,Yes,"The property is centrally located, close to restaurants, shops and public transport.,Please read carefully: Attention,Please leave your e-mail address in the message, if you do not, I can not contact you to arrange for faster communication and sightseeing.,Ideally situated to take advantage in all that cosmopolitan Melbourne offers. Within walking distance you will find 5 star eateries in Southbank, Crown Casino, Federation Square arts hub, eclectic shopping in Clarendon St and fresh produce at South Melbourne market.,The Exhibition Centre and CBD are also close by, with easy access to public transport.,3 bedrooms and 2 full bathrooms,Foxtel and wi-fi,Fully equipped kitchen,Mood lighting",A Spacious & Comfy 2BR Suite in Southbank,Apartment & Unit,"Riley,Gummie since, ,2019","12, , views"
Abbotsford VIC,10/12/2019,1 Bathroom,1 Bedroom,3 hours ago,3 hours ago,Yes,,https://www.gumtree.com.au/s-ad/abbotsford/property-for-rent/apartment-for-rent/1235078185,Street,Yes,$405.25,No,"405.25AUD$/week (1621AUD$/month) bills ( /- 80AUD$/month),Location : Lockhart St - 3067 Abbotsford,Hi everyone, we are leaving Melbourne very soon (mid/end of December) and are looking for someone to take over our lovely apartment. It is located in Abbotsford, and well-connected to the city and suburbs with public transports - tram line 12 and 109 (28 min from the CBD (Flinders Street station), and 30min from Fitzroy).,The apartment is located in a very recent building with lots of nice commodities.,- Gym (lots of fitness, cardio and weight training machines, as well as a 20-25 meter swimming pool),- Interphone with camera, remote opening, private mailbox, secured doors, guard service, cleaning of shared facilities/floor/etc),- Air conditioning : cooling and heating,- Lovely interior parc with benches and trees,- Extremely well isolated and sound-proof walls, double glazing,- NBN internet connection (up to 100Mb/s),—> Our actual Telstra contract can be transferred to your name.,The apartment contains :,- Fully equipped kitchen with Miele appliances (over, microwave, gas cooking, hood, fridge and freezer) as well as small appliances like a toaster and a Brita.,- Living room : leather sofa with meridian, large square coffee table on wheels, TV cabinet, TV, dining table 4 chairs. Huge bay window that can be fully opened on the superior portion (see pictures),- Bedroom : possibility to close it with 2 soundproof glass doors, big queen size bed with a box spring wind chest, large wardrobe divided into 2 sections, shoe cabinets.,—> Duvet, pillows, sheets, duvet cover, pillow cases are not provided on the contract, but you can buy ours (only used for 2 months, in perfect condition).,- Bathroom : Large mirror cabinet with lots of space (4 doors), sink and toilet. Large Italian-style shower. Bosch Washing machine fully working.,If you are interested, DM me or call me on : 0499 88 26 93 or 0499 88 53 70",Apartment for rent,Apartment & Unit,"Mathias,5, ,ads,Gummie since, ,2019","8, , views"
"283 Domain Road corner Darling Street, South Yarra VIC 3141",Standard lease terms apply.,1 Bathroom,Studio or Bachelor Pad,3 hours ago,3 hours ago,Yes,,https://www.gumtree.com.au/s-ad/south-yarra/property-for-rent/furnished-studio-apartment-excellent-location-near-train-station/1235081007,Off Street,No,$310,No,"Excellent location: 283 Domain Road corner Darling Street, South Yarra.,Easy walk to train, tram, shops, restaurants, Toorak Road, Chapel Street.,Security entrance, security car park, double bed, sofa, digital TV, heater, air conditioner, desk, chairs, separate kitchen, bar fridge, microwave oven, kitchen utensils, private shower/toilet, shared laundry on site.,Available now.,Inspection by appointment only.,Please telephone Victor *******4333 or *******4111 (no text/no email please).,Standard lease terms apply.",Furnished studio apartment excellent location near train station,Apartment & Unit,"Victor,Gummie since, ,2009","9, , views"
19 Marble Drive Cobblebank 3338,02/12/2019,2 Bathrooms,5 Bedrooms,4 hours ago,3 hours ago,No,,https://www.gumtree.com.au/s-ad/melton-south/property-for-rent/executive-5-6-bedroom-home-cobblebank/1235077806,Off Street,No,$500,No,"This home offers high quality fixtures, custom fittings, state of the art sleek air conditioning units, central heating, large chefs kitchen, walk in pantry stainless steel appliances 900ml gas cooktop, hardwood floors, custom fit out office, home gym space or small home business, theatre room. Backyard offers Under cover alfresco sensory gardens with huge deck for entertaining. Front deck with sight lines through to the rear of the home. You will not be disappointed,5 bedroom,2 bathroom,Office,Gym,Theatre room,Rumpus room,Family/living room,Outdoor studio/ teen retreat/ playroom/storage etc,Master bedroom with en-suite and walk in custom wardrobe,1 bedroom with walk in robe,2 bedrooms with large double built ins,1 bedroom with freestanding robe,If you’d like to apply please contact,g.c******@******com",Executive 5-6 bedroom home Cobblebank,,"Corrina,4, ,ads,Gummie since, ,2009","45, , views"
Point Cook VIC,02/12/2019,2 Bathrooms,4 Bedrooms,4 hours ago,4 hours ago,No,,https://www.gumtree.com.au/s-ad/point-cook/property-for-rent/family-home-close-to-station-shopping-centre-and-schools/1235075474,LUG,No,$430,Yes,"Located within walking distance to Williams Landing Train Station, Shopping Centre, Medical Centre, Childcare, School, Target Head Office, sporting and leisure facilities, beautiful parks, and easy access to the Princes Freeway.,It has four bedrooms, two bathrooms, separate formal lounge and study and double remote garage with internal and rear access. The main bedroom has an ensuite bathroom completed with double basins, an oversized shower and toilet and walk-in wardrobe. It also has a large open rumpus at the front, in addition to the separate study and large open plan kitchen and meals area.,The kitchen, living and dining area is completed with stone benchtops, a 900mm upright stainless-steel oven with gas cooktop, a dishwasher and ample storage space.,Additional features include solar panels, high ceilings, roller shutters on external windows, ducted heating, ducted cooling, gas hot water system and beautiful garden on 590m2 land.,Available NOW.,For inspection times please contact ******3049 or the******@******com","Family home close to station, shopping centre and schools",House,"Pras,Gummie since, ,2015","3, , views"
"Caroline Springs VIC 3023, Australia",,,,4 hours ago,4 hours ago,,,https://www.gumtree.com.au/s-ad/caroline-springs/property-for-rent/room-for-rent/1235077243,,,$0,,"Room for rent for single punjabi boy or girl in caroline springs. Nearby market place and bus stop,.Contact Harpreet,******3200",Room for rent,,"Gill,Gummie since, ,2019","2, , views"
Noble Park VIC,02/12/2019,1 Bathroom,2 Bedrooms,3 hours ago,3 hours ago,Yes,,https://www.gumtree.com.au/s-ad/noble-park/property-for-rent/room-for-rent/1235083009,Covered,No,$550,No,Hi. We have one bedroom for rent 12 min walk from noble Park station. All bills including. Only for girls,Room for rent,Townhouse & Villa,"Yuvi,Gummie since, ,2017","8, , views"
"Laura Grove, Avondale Heights VIC 3034, Australia",,,,4 hours ago,4 hours ago,,,https://www.gumtree.com.au/s-ad/avondale-heights/property-for-rent/pet-friendly-townhouse/1235075042,,,$435,,"Beautiful townhouse, close to river with views and 5 minutes to hightpoint.,$435/week, bond one months rent,Ideally December 14th-20th move in time frame,3 bedroom,2 bathroom,Cute small courtyard with big kitchen, two living spaces and bathtub in one bathroom.,Split system upstairs,Central heating,Master bedroom with balcony and walk in robe.,16c Laura Grove Avondale Heights,Please reply confirming you are a full time worker and with rental history. We can then arrange a viewing 😊",Pet Friendly Townhouse,,"Madeleine,11, ,ads,Gummie since, ,2011","10, , views"
station av st albans,,,,3 hours ago,3 hours ago,,,https://www.gumtree.com.au/s-ad/st-albans/property-for-rent/room-for-rent-470-inc-all-bills/1235082974,,,$470,,Room for rent in st albans.. 10 min walk to station.. rent is 470 inc all bills.. for indian boy or girl,Room for rent 470$ inc all bills,,"paramraj,Gummie since, ,2015","8, , views"
Rye VIC,02/12/2019,1 Bathroom,2 Bedrooms,2 hours ago,2 hours ago,Yes,,https://www.gumtree.com.au/s-ad/rye/property-for-rent/beach-unit-in-rye-for-rent-5-min-walk-to-woolies-rye-front-beach/1235084596,Covered,No,$250,No,"🌊 Modern Beach unit, light filled & spotlessly clean 2 bed, 1 bath in one of best locations in RYE of the Mornington Peninsula! Also extra outdoor toilet & shower for your convenience ( :,Comfortably sleeps 4 adults with secure off street parking where you can leave your car behind and walk approx: 4-5 mins walk to woolies and front beach.,8 minutes drive to the famous Peninsula Hot Springs.,1 x QS Comfort bed and 2 x single beds in the second bedroom. (can be pushed together for king size),RATES:,DECEMBER 2019 TO FEB 2020,(Summer peak period / Public holidays may incur other charges),*Weekday $250 p/night & 2 nights minimum booking,*Weekend $300 p/night & 3 nights minimum booking,Linens provided - of course :),BYO towels, or can be supplied at an additional charge for $20 per person.,Cleaning fee $80,Bond $800 (refund after 3-5 days provided no damages),***STRICTLY NO PARTIES***,NOT AVAILABLE ON THESE DATES:,Sun 29 Dec 2019 - 8nd January 2020,PM me for more info & bookings.,*Prices subject to change unless booking is confirmed and paid in full.",Beach Unit in Rye for rent 5 min walk to Woolies & Rye front beach,House,"Anna,Gummie since, ,2014","13, , views"
"Unit 199 C/18 Waterview Walk, Docklands VIC 3008",02/12/2019,1 Bathroom,1 Bedroom,3 hours ago,3 hours ago,Yes,,https://www.gumtree.com.au/s-ad/docklands/property-for-rent/private-bedroom-available-for-one-month-dec-2-to-jan-2-only-at-1000/1235083410,Covered,,"$1,000",No,"One room in a lovely 2 bedroom apartment available from Dec 2 to Jan 2, minutes away from Melbourne's CBD and in the free tram zone. Can accomodate two friends or a couple. Fully furnished. 2 minute walk to Southern Cross Station. All bills included. Another room is occupied by two friends who are very friendly and sociable both working full-time.",Private bedroom available for one month Dec 2 to Jan 2 only at $1000,Apartment & Unit,"Siva,Gummie since, ,2019","9, , views"
"West Footscray VIC 3012, Australia",14/12/2019,2 Bathrooms,3 Bedrooms,2 hours ago,2 hours ago,Yes,,https://www.gumtree.com.au/s-ad/west-footscray/property-for-rent/house-for-rent-near-tottenham-station-6-minutes-walk-/1235084779,,,$600,,"Looking for a decent person to rent one decent size room with a built-in robe in a 3 bedroom townhouse.,Grocery/ train station/ Bus station/Indian/ Nepali/ Srilankan Restaurant nearby at around a few minutes walking distance and takes 15 to 20 minutes to get to city by both train and car.,This spacious and well-located townhouse is just a short walk from Tottenham Station, Central West Plaza and much more. Comprises:,* open plan lounge with backyard access,* well appointed kitchen/meals with gas cooking appliances furnished with necessary appliances i.e Refrigerator, microwave and other appliances,* generous size bedroom with built in wardrobe,* main bathroom with separate shower and bath,* one seperate toilet,* laundry,* backyard,Also features central heating and air conditioning.",House for rent near Tottenham station (6 minutes walk),Townhouse & Villa,"Sanjeev Karki,Gummie since, ,2015","9, , views"
"Parkville VIC 3052, Australia",,,,2 hours ago,2 hours ago,,,https://www.gumtree.com.au/s-ad/parkville/property-for-rent/a-2-bedroom-unit-in-north-melbourn-available-from-8-dec-31-dec/1235087464,,,$250,,"A 2 bedroom unit in North Melbourn available from 8 Dec -31 Dec 2019 only. Clean, quiet, non smoking accommodation. A short walk to Melbourne Uni. 10 mins by public transportations to Melbourne CBD.,$250 per week.,2 Single beds.,Furnished.,No Fridge.",A 2 bedroom unit in North Melbourn available from 8 Dec -31 Dec,,"Jen,Gummie since, ,2017","14, , views"
Box Hill North VIC,01/12/2019,1 Bathroom,1 Bedroom,2 hours ago,2 hours ago,Yes,,https://www.gumtree.com.au/s-ad/box-hill-north/property-for-rent/box-hill-north-furnished-rooming-house-two-room-for-rent-now/1235086662,,"Room 3 - $200 for single tenants, available on 14/1",$200,,"Furnished Rooming House - All bills Included!,As new fully furnished townhouse designed with low maintenance living in mind, which is great for small families, young professionals, students, new migrants, shift workers etc.,This stylish home offers:,* Bedroom #1~3 on the ground floor,* Open plan designed living and dining area, kitchen, laundry and first bathroom on the ground floor,* Room #4~5 on the second floor,* Second living area and bathroom on the second floor,* Each bedroom with its own lock,* Bills included to a certain limit,* Internet available for all residents,* One onsite parking (shared) & street parking available,* Centralized air conditioning,* Bus route 270,279,303 available in walking distance, heading directly to City, Doncaster, Blackburn and Ringwood,* Close to Box Hill Central Shopping Centre, Eastland shopping centre, Westfield shopping centre,* No Pets Allowed,Room 1 - $240 for single tenants, $290 for couples, available on 12/12,Room 2 - *****LEASED*****,Room 3 - $200 for single tenants, available on 14/1,Room 4 - $240 for single tenants, $290 for couples, available now,Room 5 - *****LEASED*****,Please register for inspections to get notified for any changes.",Box Hill North Furnished Rooming House - TWO ROOM FOR RENT NOW,Townhouse & Villa,"Eva,5, ,ads,Gummie since, ,2019","9, , views"
"Box Hill, VIC",17/11/2019,1 Bathroom,,2 hours ago,2 hours ago,Yes,,https://www.gumtree.com.au/s-ad/box-hill/property-for-rent/1-room-great-location-inc-bills-in-455-mont-albert-road-box-hill-/1235088851,Street,No,$168,No,"1 room Great location (inc bills) in 455 Mont albert road box hill.,There is 4 rooms in this house with 1 bathroom. Now, there is 1 room is avaialble. another 3 rooms are living by 3 young boys, they are very nice person.,There is bus 767,766,281 and 10 minutes walk to box hill train station and shopping center. 8 minutes walk to box hill institute.,720$ per month.,please contact me at ******1046 click to reveal inspection is",1 room Great location (inc bills) in 455 Mont albert road box hill.,House,"Lisa,116, ,ads,Gummie since, ,2018",
"Gwenda St, Dandenong VIC 3175",,,,2 hours ago,2 hours ago,,,https://www.gumtree.com.au/s-ad/dandenong/property-for-rent/room-for-rent-only-punjabi-boy/1235089023,,,$450,,"Located in one of central Dandenong's best locations, and just a short walk to all amenities including Dandenong Hospital, High School, Market, and Plaza as well as public transport services and Dandenong's CBD.,large family room, dishwasher, meals area, two update family bathrooms and separate laundry,,Call us to arrange the inspection for room,******8303",room for rent only punjabi boy,House,"Amrit,Gummie since, ,2018","2, , views"
caroline srprings,02/12/2019,1 Bathroom,1 Bedroom,2 hours ago,2 hours ago,,,https://www.gumtree.com.au/s-ad/hillside/property-for-rent/room-for-rent/1235088568,,,$500,,Room for single Punjabi boy or girl in Caroline springs contact gill ******3200,Room for rent,,"Happy,Gummie since, ,2019",
